,predicted_mean
2019-01-01,125.22611361884596
2019-02-01,126.56324463218708
2019-03-01,125.65498521871349
2019-04-01,125.77626386164158
2019-05-01,127.73391662225406
2019-06-01,128.63212297534565
2019-07-01,127.58436685502458
2019-08-01,129.22719436606806
2019-09-01,131.3589863442906
2019-10-01,131.02385669643334
2019-11-01,130.69473849160514
2019-12-01,127.93186591317968
2020-01-01,130.23535105727555
2020-02-01,130.84498331086826
2020-03-01,129.57098449214305
2020-04-01,130.39174614059726
2020-05-01,133.64418984954665
2020-06-01,135.47116990114
2020-07-01,134.53175733174677
2020-08-01,136.0491788712019
2020-09-01,137.9657671180807
2020-10-01,137.9060164525692
2020-11-01,136.51589656307502
2020-12-01,131.95988342068472
2021-01-01,134.8750292381919
